;Date;canyon;detector
1;22/05/2017;Arugot;proximity loggers
2;22/05/2017;Arugot;proximity loggers
3;02/06/2017;Arugot;proximity loggers
4;04/06/2017;Arugot;proximity loggers
5;11/06/2017;Arugot;proximity loggers
6;14/06/2017;Arugot;proximity loggers
7;16/06/2017;Arugot;proximity loggers
8;22/06/2017;Arugot;proximity loggers
9;25/06/2017;Arugot;proximity loggers
10;30/06/2017;Arugot;proximity loggers
11;08/07/2017;Arugot;proximity loggers
12;15/07/2017;Arugot;proximity loggers
13;15/07/2017;Arugot;proximity loggers
14;15/07/2017;Arugot;proximity loggers
15;15/07/2017;Arugot;proximity loggers
16;16/07/2017;Arugot;proximity loggers
17;16/07/2017;Arugot;proximity loggers
18;17/07/2017;Arugot;proximity loggers
19;17/07/2017;Arugot;proximity loggers
20;17/07/2017;Arugot;proximity loggers
21;19/07/2017;Arugot;proximity loggers
22;20/07/2017;Arugot;proximity loggers
23;21/07/2017;Arugot;proximity loggers
24;21/07/2017;Arugot;proximity loggers
25;21/07/2017;Arugot;proximity loggers
26;22/07/2017;Arugot;proximity loggers
27;22/07/2017;Arugot;proximity loggers
28;22/07/2017;Arugot;proximity loggers
29;22/07/2017;Arugot;proximity loggers
30;23/07/2017;Arugot;proximity loggers
31;23/07/2017;Arugot;proximity loggers
32;23/07/2017;Arugot;proximity loggers
33;23/07/2017;Arugot;proximity loggers
34;23/07/2017;Arugot;proximity loggers
35;24/07/2017;Arugot;proximity loggers
36;24/07/2017;Arugot;proximity loggers
37;24/07/2017;Arugot;proximity loggers
38;24/07/2017;Arugot;proximity loggers
39;24/07/2017;Arugot;proximity loggers
40;24/07/2017;Arugot;proximity loggers
41;24/07/2017;Arugot;proximity loggers
42;25/07/2017;Arugot;proximity loggers
43;25/07/2017;Arugot;proximity loggers
44;25/07/2017;Arugot;proximity loggers
45;25/07/2017;Arugot;proximity loggers
46;25/07/2017;Arugot;proximity loggers
47;26/07/2017;Arugot;proximity loggers
48;26/07/2017;Arugot;proximity loggers
49;01/08/2017;Arugot;proximity loggers
50;03/08/2017;Arugot;proximity loggers
51;03/07/2017;David;proximity loggers
52;24/02/2018;David;proximity loggers
53;24/02/2018;David;proximity loggers
54;28/02/2018;David;proximity loggers
55;16/05/2017;Arugot;proximity loggers
56;17/05/2017;Arugot;proximity loggers
57;18/05/2017;Arugot;proximity loggers
58;23/05/2017;Arugot;proximity loggers
59;24/05/2017;Arugot;proximity loggers
60;25/05/2017;Arugot;proximity loggers
61;26/05/2017;Arugot;proximity loggers
62;27/05/2017;Arugot;proximity loggers
63;28/05/2017;Arugot;proximity loggers
64;29/05/2017;Arugot;proximity loggers
65;29/05/2017;Arugot;proximity loggers
66;30/05/2017;Arugot;proximity loggers
67;30/05/2017;Arugot;proximity loggers
68;30/05/2017;Arugot;proximity loggers
69;03/06/2017;Arugot;proximity loggers
70;14/06/2017;Arugot;proximity loggers
71;15/06/2017;Arugot;proximity loggers
72;17/06/2017;Arugot;proximity loggers
73;20/06/2017;Arugot;proximity loggers
74;20/06/2017;Arugot;proximity loggers
75;30/06/2017;Arugot;proximity loggers
76;30/06/2017;Arugot;proximity loggers
77;30/06/2017;Arugot;proximity loggers
78;03/07/2017;Arugot;proximity loggers
79;03/07/2017;Arugot;proximity loggers
80;04/07/2017;Arugot;proximity loggers
81;04/07/2017;Arugot;proximity loggers
82;15/07/2017;Arugot;proximity loggers
83;15/07/2017;Arugot;proximity loggers
84;18/07/2017;Arugot;proximity loggers
85;18/07/2017;Arugot;proximity loggers
86;22/07/2017;Arugot;proximity loggers
87;24/07/2017;Arugot;proximity loggers
88;01/08/2017;Arugot;proximity loggers
89;03/08/2017;Arugot;proximity loggers
90;04/08/2017;Arugot;proximity loggers
91;04/08/2017;Arugot;proximity loggers
92;04/08/2017;Arugot;proximity loggers
93;04/08/2017;Arugot;proximity loggers
94;04/08/2017;Arugot;proximity loggers
95;04/08/2017;Arugot;proximity loggers
96;06/08/2017;Arugot;proximity loggers
97;06/08/2017;Arugot;proximity loggers
98;06/08/2017;Arugot;proximity loggers
99;06/08/2017;Arugot;proximity loggers
100;06/08/2017;Arugot;proximity loggers
101;06/08/2017;Arugot;proximity loggers
102;06/08/2017;Arugot;proximity loggers
103;06/08/2017;Arugot;proximity loggers
104;06/08/2017;Arugot;proximity loggers
105;06/08/2017;Arugot;proximity loggers
106;06/08/2017;Arugot;proximity loggers
107;06/08/2017;Arugot;proximity loggers
108;06/08/2017;Arugot;proximity loggers
109;07/08/2017;Arugot;proximity loggers
110;07/08/2017;Arugot;proximity loggers
111;07/08/2017;Arugot;proximity loggers
112;07/08/2017;Arugot;proximity loggers
113;07/08/2017;Arugot;proximity loggers
114;08/08/2017;Arugot;proximity loggers
115;08/08/2017;Arugot;proximity loggers
116;08/08/2017;Arugot;proximity loggers
117;08/08/2017;Arugot;proximity loggers
118;08/08/2017;Arugot;proximity loggers
119;08/08/2017;Arugot;proximity loggers
120;08/08/2017;Arugot;proximity loggers
121;08/08/2017;Arugot;proximity loggers
122;08/08/2017;Arugot;proximity loggers
123;08/08/2017;Arugot;proximity loggers
124;08/08/2017;Arugot;proximity loggers
125;08/08/2017;Arugot;proximity loggers
