,parent_ID,offspring.ID,from,to
1,425,454,AI00F0048,AI99F0033
2,410,459,AS99F0015,NA
3,469,470,AI00F0036,AI00F0037
4,399,484,AI00F0012,AI00F0049
5,399,485,AI00F0012,AI00F0050
6,469,486,AI00F0036,AI00M0315
7,411,487,AI99F0016,AI00F0316
8,452,488,AI99F0032,AI00M0317
9,425,489,AI00F0048,AI00F0318
10,474,490,AS99F0041,AI00F0319
11,441,492,AS99F0027,AS01M0051
12,425,494,AI00F0048,AI01F0053
13,420,497,AI99F0018,AI00M0320
14,1340,1141,DH02F0031,DW02F0014
15,1141,1340,DW02F0014,DH02F0031
16,469,499,AI00F0036,AI01M0322
17,410,3502,AS99F0015,AN10M0162
18,421,503,AS99F0019,AS01M0054
19,410,506,AS99F0015,AS02F0057
20,1529,674,DW02F0047,DN02M0006
21,1141,850,DW02F0014,DW02F0008
22,427,1310,AS99F0021,AS03F0089
23,1758,1325,DH02F0053,DH04F0019
24,1758,1327,DH02F0053,DH02F0382
25,1336,1328,DH02F0027,DU02F0381
26,1789,1337,DH02F0054,DH02F0028
27,2503,1338,DU02F0362,DH02F0029
28,1961,1864,DW02F0060,DU02F0368
29,1338,2503,DH02F0029,DU02F0362
30,469,912,AI00F0036,AS02M0329
31,470,1069,AI00F0037,AI03F0390
32,469,1315,AI00F0036,AI04M0090
33,425,1319,AI00F0048,AI02M0091
34,1789,1380,DH02F0054,DU02M0379
35,474,1414,AS99F0041,AS03F0069
36,399,1475,AI00F0012,AI03M0096
37,469,1518,AI00F0036,AI04M0377
38,1310,1630,AS03F0089,AS03M0098
39,430,1763,AS99F0022,AS02M0371
40,474,1916,AS99F0041,AS03F0107
41,425,1940,AI00F0048,AI04M0109
42,399,1956,AI00F0012,AI03F0111
43,425,2328,AI00F0048,AI03M0125
44,451,2652,AI99F0031,AI02M0359
45,1758,2664,DH02F0053,DU02M0358
46,451,2710,AI99F0031,AI03F0138
47,421,6158,AS99F0019,AS07F0191
48,850,732,DW02F0008,DU03M0335
49,484,808,AI00F0049,AI04M0062
50,451,853,AI99F0031,AI04M0065
51,421,952,AS99F0019,AI04F0066
52,1864,1022,DU02F0368,DU03M0391
53,1340,1330,DH02F0031,DU03M0380
54,1789,1419,DH02F0054,DN07M0032
55,425,1469,AI00F0048,AN07M0095
56,1340,1533,DH02F0031,DU07F0048
57,427,1804,AS99F0021,AS04F0102
58,1206,1869,DH02F0016,DH07F0056
59,474,1898,AS99F0041,AI05M0367
60,1336,1924,DH02F0027,DH07F0057
61,451,2129,AI99F0031,AI04M0113
62,399,2138,AI00F0012,AI07F0115
63,1336,2159,DH02F0027,DH03F0366
64,470,2312,AI00F0037,AI09F0124
65,850,2378,DW02F0008,DW04M0069
66,2273,2720,DH02F0067,DU04M0357
67,506,5042,AS02F0057,AS04M0343
68,451,5354,AI99F0031,AU07F0188
69,430,5674,AS99F0022,AS05F0340
70,1222,637,AI04F0068,AI05F0339
71,1338,865,DH02F0029,DU04M0333
72,1141,878,DW02F0014,DU04M0332
73,430,882,AS99F0022,AS04M0331
74,410,987,AS99F0015,AS04M0323
75,850,1123,DW02F0008,DW04F0012
76,1325,1256,DH04F0019,DU04F0386
77,1206,1301,DH02F0016,DN07M0018
78,1325,1499,DH04F0019,DH07F0046
79,451,1560,AI99F0031,AI04M0097
80,1332,1939,DH02F0023,DH07F0058
81,1206,2202,DH02F0016,AN07M0119
82,470,2334,AI00F0037,AI04F0363
83,1789,2433,DH02F0054,DH07F0072
84,1328,2566,DU02F0381,DU04F0360
85,425,2649,AI00F0048,AI07F0135
86,425,3144,AI00F0048,AN07M0147
87,9974,3295,AI07F0230,AU04F0355
88,1222,3338,AI04F0068,AI07F0153
89,506,3470,AS02F0057,AS07F0161
90,484,5081,AI00F0049,AI05M0342
91,1222,5280,AI04F0068,AI07F0186
92,470,6062,AI00F0037,AI07F0190
93,2273,6432,DH02F0067,DU06M0338
94,1332,8003,DH02F0023,DN07M0113
95,1758,8464,DH02F0053,DN07M0115
96,1157,8853,DW04F0388,DN08M0122
97,1309,9974,AI04F0088,AI07F0230
98,1309,206,AI04F0088,AI05F0273
99,1222,182217,AI04F0068,AI07M0120
100,506,975,AS02F0057,AU04M0324
101,1706,2639,DW04F0051,DU07F0075
102,484,3518,AI00F0049,AU05F0354
103,1325,3587,DH04F0019,DN07M0083
104,1961,5228,DW02F0060,DW07F0105
105,484,5542,AI00F0049,AN07M0189
106,1222,34,AI04F0068,AI07M0001
107,1206,122217,DH02F0016,DN04M0387
108,1924,9415,DH07F0057,DH07F0128
109,182217,253,AI07M0120,AC09F0004
110,1309,573,AI04F0088,AI07M0059
111,1123,919,DW04F0012,DW07F0011
112,2835,202000,DH14F0077,DH10F0038
113,2649,2167,AI07F0135,AI07F0117
114,1309,2427,AI04F0088,AI07F0128
115,1869,4137,DH07F0056,DH07M0092
116,1123,4149,DW04F0012,DW07M0093
117,182217,4249,AI07M0120,AI07M0175
118,6062,4465,AI07F0190,AI07F0180
119,2835,7066,DH14F0077,DH08F0109
120,1309,7843,AI04F0088,AI08F0202
121,484,9202,AI00F0049,AI07M0218
122,484,9353,AI00F0049,AI07M0221
123,5280,9730,AI07F0186,AI07M0227
124,3338,9797,AI07F0153,AI07F0228
125,1123,1133,DW04F0012,DW09F0009
126,7188,1709,DH08F0110,DN10M0052
127,9239,8953,DW07F0127,DW08F0124
128,182217,9194,AI07M0120,AI08F0217
